flight,n_truth_points,truth_length_km,baseline_median,baseline_p95,baseline_path_err,smoother_median,smoother_p95,smoother_path_err,kalman_median,kalman_p95,kalman_path_err
300394_1775143291,20,67.52943171600418,17.37407402653126,17.696981196474745,1.5695267265870285,4.388623929681723,4.639434902695722,-0.08024211377318125,3.068038518812,22.7931599111094,4.694596710509984
34644e_1775580530,5,8.058751315239977,7.760406457628726,7.852949383657458,0.014570762574127372,1.9620393067700885,1.9866397008327363,0.06167552484960126,2.1241805292580462,2.4776388761244186,-0.21979572432851846
392ae2_1775232095,17,123.67597554441629,2.517355081713806,5.190121612319865,-0.7957876984668673,1.5001587253219366,4.595398381531993,-0.5441599298343931,3.884175534980584,5.563017314592087,4.136062183032564
3c4a0f_1775147070,47,106.85420481223217,2.164367047778814,2.991412398137709,-0.7967593768973558,1.2542132880924557,2.395007798922241,0.29460570659523455,1.4435390003157715,4.867386552592317,5.172524899730178
3c6595_1775586516,6,24.068914374322254,0.6748611660096631,0.8114362154643289,0.7053588305316616,0.14791275716884744,0.21726894722218554,0.02119358071605859,2.292173382991874,2.351296053687515,0.32063908992040524
3e4601_1775176469,7,115.67567240378753,1.226955503937778,2.859112968849675,-1.0838639089401028,0.6547422008134729,1.2974538528986639,-0.12772116985949822,12.610513163626536,15.828289389334344,-15.794821337048745
400879_1775143182,8,35.34733909836596,0.6287669819706597,0.7992532281383704,0.5417984680660197,0.5023363226641515,0.6424393833831638,0.438155298612692,0.9134730319784035,1.0269139979388702,0.3186514567315726
405a4a_1775146694,33,121.79849650533461,24.2800683131665,24.780867730825502,-8.629408213637788,2.4797952047255096,3.849671097913748,-2.3665726764257187,22.67889018906501,60.47525875485187,-1.1388210163753882
406531_1775230545,19,102.60380386656514,5.191431761731371,6.606399811516904,-0.6949549815922893,1.4376147040655258,1.570852555662786,0.4102097111655638,0.5731831605800426,10.542099617816534,-1.567560449648667
4076cc_1775146270,39,147.61879178160441,7.251170333217558,10.130593022852757,-2.152542499607705,2.1437170039217266,4.847050021625881,-0.5401434381788306,4.163490982126246,6.365916845702281,-4.811247373675002
408227_1775146658,7,37.53930495413528,1.9536695844276677,2.2834111057371427,1.6170754927442417,0.5627708619819191,0.919916602216156,-0.832621317830359,20.648597087168746,24.536472267123344,8.529340863660153
4082f2_1775145909,19,114.83305593321886,2.6824595476292776,5.2757112426954,-1.2807961266019703,2.1529139558731436,3.176944219549789,-0.9940205785342471,1.9259430519562444,14.959289565258237,-1.505051319117868
4400eb_1775145651,19,137.42552574546366,2.5500881575470142,3.614268430466085,-1.120738576308554,1.653048712718413,3.2209999548523562,0.10504897588262452,8.907929223267207,25.703994004262338,5.776124300083467
440132_1775580254,13,93.28027690751772,3.598498920954862,7.29449721087765,-0.678910670657956,0.6216644190920007,1.4417140065383245,-0.028972471652579657,1.9477921180625226,14.291767228638072,8.660567307957805
440488_1775142894,20,82.78825043012947,6.548810714975161,7.038683347540502,-0.6710701963809242,1.1401481437549748,1.4775472519650628,-0.1996238849836942,0.6519833692333475,14.114503462744237,-0.6789823685589198
485064_1775143621,6,46.714657034032996,0.32555879546392974,0.4299416229964693,0.023178730199617803,1.443987106390424,2.1321877134688836,-1.8245370434406993,21.080896765302256,24.188069837636128,6.701413865084483
485a33_1775143757,7,14.194620057449402,16.301894541229466,16.528640517367766,0.1143124145381389,2.7680573316661348,2.7963329945388082,0.11296494757198339,10.060953950366201,10.900185217715098,0.07715795707521522
4b1619_1775143154,11,74.40233606385608,2.9039041079580943,3.2791127929416892,1.388077486420329,0.5098505266443482,0.9160123576061658,-0.8485929293530745,0.9751849877679238,3.9907459910145064,4.166383078913128
4b1a1d_1775581323,18,123.77169196380494,21.66777156949291,26.879910132900477,-10.904880944355057,6.050414361272737,8.249264839141523,-5.949836173577097,9.708256065030675,48.27975078450922,5.903369206648577
502d5a_1775231589,80,112.1518106809715,0.5595741974211883,1.3029321396540816,-0.6529416404134167,1.0260055837205195,1.2486332586499331,0.19436940326055208,2.996806319110031,10.480768407546833,-13.502737689360785
